label,acc_x_mean,acc_x_std,acc_y_mean,acc_y_std,acc_z_mean,acc_z_std,gyro_x_mean,gyro_x_std,gyro_y_mean,gyro_y_std,gyro_z_mean,gyro_z_std,acc_mag_mean,acc_mag_std,gyro_mag_mean,gyro_mag_std,SMA_acc,SMA_gyro,acc_dom_freq,gyro_dom_freq
duduk,0.0070407390642409865,0.18082374046370261,-0.0443033258599597,0.7252685079569577,-0.17195663367775407,0.5681872614238357,-0.3830994679134288,0.49454562689224674,-0.1426925952469293,0.15894562197659812,-0.0874960731444291,0.14056128105848686,0.3691246195662363,0.8808062018701949,0.5146617600016336,0.4456363179560174,0.552048620854848,0.7189661200680595,0,0
duduk,0.00883534580123316,0.18059361601202445,0.11922976206265455,0.19774904642678223,-0.09361456210330583,0.33010422362252895,-0.6969387119011426,0.5832425330269199,-0.09730240735134794,0.19661054112520573,-0.11765409807570272,0.12959560367511638,0.39906285740632536,0.20764914113087363,0.8278074369785229,0.46648807473137427,0.5856317002548085,1.056922967238206,0,0
duduk,0.0005582242144671235,0.15245602417629758,0.045520148911860396,0.2249032798048092,-0.0067637251684759415,0.3033477709567976,-0.23753286252236652,0.7249512364080971,-0.0648520752824392,0.1880874695289953,-0.36227464107788987,0.4708751588795626,0.35223482433972314,0.2065457242493262,0.8452019208417799,0.5048575572358396,0.5121685995758558,1.1317988573083642,0,0
duduk,-0.008542191161602684,0.3428781740717205,-0.004473721743635915,0.2215764215939208,-0.004242129848739262,0.1687510783907923,0.17081576151865716,0.44470185845183124,-0.11672884459112425,0.3164141421990368,-0.5609521529484113,0.44140016865170145,0.36735757909073685,0.24276705069125065,0.8501171409638814,0.35184428323349204,0.532949687188744,1.2863024294261842,0,0
duduk,0.046360330095093785,0.45942849940510216,0.015475323996958343,0.20024489962024125,0.009576896491158497,0.2311725717486744,-0.005453248979089276,0.46079884612024274,0.019999137592450082,0.4784579223495787,-0.24009276492838594,0.3723356844313877,0.45531663562392966,0.3125884678170696,0.7107701297602728,0.3581272410393978,0.6628885895446254,1.0890843806701804,0,0
duduk,0.022254157182042024,0.4350960032039505,0.022803706829605214,0.23294191657133867,0.016862665861997618,0.28531639102416545,-0.08460832021972427,0.4922174000040386,0.06450975894043703,0.44194673398967593,0.03495165549970822,0.2078822747234218,0.46265194556694567,0.3317826593156083,0.6022460429047234,0.35653101969518536,0.6867422733600864,0.8968308363034352,0,0
duduk,-0.017534483658568106,0.29934301744209707,0.010776456492208365,0.19393474517358777,-0.0012519149249565057,0.23262484613264267,-0.023514842186500292,0.36775036615486145,0.02246081804153911,0.26849940685445683,0.20547203244106427,0.18236846022715708,0.3090830052148495,0.2919990095458612,0.49280652846639106,0.19746507466321717,0.4608703938510652,0.7085555860692355,0,0
duduk,-0.0012281793307298541,0.08266852385150868,-0.0011616854263705944,0.06744875392248957,0.0006492359422838735,0.0867904571364917,-0.011505940309515685,0.11585030150654725,-0.006218955562625772,0.14844192523403288,0.019197390279481003,0.33743344335500414,0.11790839882792971,0.06983191649080994,0.37086543226044866,0.10455718544095381,0.18026240012177067,0.5109352774571136,0,0
duduk,-0.004203098286745268,0.1289008012402608,0.0029922752662123616,0.08587059878520692,0.011850309221786584,0.16744739329552974,0.038272840404702996,0.14666493465163835,-0.03222707137238691,0.12950058708933568,-0.30764217425847806,0.10640596487905372,0.17017131146761147,0.15147857830324693,0.3708328416985326,0.09394446818806595,0.2579354852001278,0.5280975845059989,0,0
duduk,0.000414595484215724,0.23871765364455866,-0.027994464785158647,0.18707786487247388,-0.0043150137435287676,0.4058818756793238,0.22591564465995082,0.4154963977131969,0.009418038657777014,0.17729893100768174,-0.10511145154598639,0.2528466303867535,0.36166957451489096,0.35413103125778184,0.513673029421968,0.2535377248291325,0.542210539585683,0.7252668643408064,0,0
duduk,0.008534737903568646,0.22224284318610732,-0.003550768894398426,0.19520652698809213,-0.010486304021636132,0.38798531932146035,0.02891904619408484,0.570952555587836,0.04683631549367076,0.16222065504544914,0.11623745169927668,0.1694913863851409,0.33739465998101226,0.35105905063004605,0.5650474823700846,0.2742884906165117,0.5093420470784059,0.763496403014802,0,0
duduk,0.006495406160076652,0.09774728729949791,0.04337799352447838,0.11460424356092849,-0.0005804152596415755,0.14676646636224713,-0.2564956874482778,0.2752316793308597,0.00943419091186666,0.1349077869726165,0.06713834412677741,0.14425537376252515,0.1882373917358292,0.10188938207660586,0.3708864197941392,0.21659542335249032,0.2819353113272317,0.5028895952857645,0,0
duduk,-0.0027814207785303025,0.10377022375528631,-0.003399263490150474,0.12976014532045654,-0.01121459740385837,0.11316455626256591,0.00012652850265516754,0.20183032186877137,-0.004934420537005721,0.12212551505855895,-0.0227886050428395,0.07498695295237053,0.17258025665665783,0.10234208447690886,0.22483544768814528,0.10373401413438509,0.2554488153155525,0.31955701266100756,0,0
duduk,-0.0018929326179919763,0.12297871076492913,-0.015155170386113758,0.12176478054236574,-0.0037873928932985745,0.0907621858488265,0.07245662786146001,0.13792834555222316,-0.000758584098283712,0.11186199279584504,-0.023703631735829223,0.06583677335505587,0.1592414276045754,0.11324458169340425,0.17643636865815351,0.10148247030427779,0.23975359968193255,0.25532049437791504,0,0
duduk,-0.0010644190864284137,0.20413918093682026,0.0069132399390772524,0.1233848041846151,0.005243243238668561,0.14481541762367214,-0.03806705477595877,0.2780387156713164,-0.007144396133714013,0.13297195127288458,0.11896223999455902,0.14177525474933725,0.22317964221429357,0.1662318687649883,0.2792665384034259,0.22829799621243763,0.33327813876218365,0.4097739295595039,0,0
duduk,-0.01398528773672727,0.22565651250350377,-0.030701627464004125,0.1735180664191223,0.011799853737210996,0.16824250752803818,-0.0676608125262842,0.28616643948624143,0.030330516951492106,0.1965961858095591,0.22745495151784664,0.22501565878224858,0.2725210410172101,0.18869908190867787,0.4353408564884913,0.19377594093350908,0.41188167509154944,0.6264399419693993,0,0
duduk,-0.014865348154951446,0.13196373396634917,-0.029394290289919463,0.1603639660813591,0.01520881687210361,0.13401864950936063,0.04486395263935225,0.19580399911242838,-0.0014417440659724643,0.17405990524923295,-0.07267623689396835,0.3991920713463445,0.1955175763456986,0.15429964018892237,0.4558976227738454,0.15943241712837966,0.30211081921182487,0.6288075285952539,0,0
duduk,0.008284897337283426,0.2838876408273502,-0.000633513882834526,0.15775551894201595,-0.0007477286980450381,0.18362109215585218,0.12589778988897957,0.22249317766649232,0.03239508668798863,0.19768519214011263,-0.3178875591355704,0.19052509660219766,0.28297622676501333,0.24162287980520117,0.46029516975711937,0.1732464502804302,0.4215505878388031,0.6729730702247729,0,0
duduk,-0.0066130496948039715,0.36335050789137774,-0.016739668977993095,0.1556791724261906,0.015645585852791508,0.2172960989722289,0.06627822880547668,0.24322325919920018,-0.08477456927752439,0.4333771049899806,-0.059089727758364935,0.27932129654773136,0.3729683414890067,0.2520737598056725,0.5129291391885481,0.2728794168911332,0.5442448949385585,0.7860335778192392,0,0
duduk,-0.005005567523669107,0.25427195916242257,-0.001852945069422101,0.11867738969053977,0.027651841299605226,0.15277242380692482,-0.03783863974643554,0.2358067917111817,-0.07223840410974783,0.527386876993574,0.032516152797163314,0.24265182001866184,0.25262566134998754,0.19599673911723844,0.49804610714797015,0.3871065616427253,0.3701084623038483,0.7580827794296424,0,0
duduk,0.005920989424925343,0.11572650608439876,0.004779497678634223,0.09657724038687181,0.004120473435045197,0.06449988291233155,0.007892621221924788,0.1935559470231272,0.0522943386741218,0.35452449372864714,-0.17531625788617522,0.17096865686908233,0.12135186343421392,0.10991193673506285,0.3646615476495271,0.3032029725811736,0.18328518885418088,0.5403297186199442,0,0
duduk,-0.002343516878228728,0.055845693622685134,-0.0013120016717810626,0.05126815806160151,-0.00103838294181917,0.03760170451448882,0.017025441984419083,0.1326037911179029,-0.0231873627193809,0.0848106565874594,-0.12915842783232984,0.1958196749244162,0.07129068589371261,0.045119067350688886,0.26120131274361097,0.10905485397219344,0.10664323281965794,0.376535632496932,0,0
duduk,0.004714580249919332,0.1531954989202521,0.00692950539851208,0.13681173839637226,-0.003296485454124418,0.08004372840793388,-0.06743278908562302,0.31555962995215664,0.05084538670819931,0.1524559259296465,0.14709009810863788,0.24050504362703504,0.16054689456907542,0.15046454923720173,0.3817924024558888,0.2499681283611756,0.24064186240677837,0.5591628696208037,0,0
duduk,0.0002726636436342096,0.1539776156339461,0.03145077348616068,0.14647001585747024,-0.002130970487687831,0.09520620702443468,-0.10779578728606772,0.3158055472068054,0.05150155002088861,0.155999366964428,0.1694070862908853,0.20449429852114798,0.18198245884511913,0.147575273683221,0.394563656551032,0.22812060174411702,0.2728923342485053,0.5667302373217111,0,0
duduk,-0.003424823606022131,0.05642287121230321,0.011031719271345653,0.12236552125050272,-4.8077948216095154e-05,0.09321069963464235,-0.05652895072177788,0.2615265277520528,0.007347604911583352,0.06914087623502446,0.020501362762036988,0.09079344364803824,0.13443928326548346,0.0933990808974417,0.24625791569002634,0.1545037312741799,0.19881317544728994,0.3131228327449598,0,0
duduk,-0.002487514167539249,0.05027329930473312,-0.009438617378633161,0.10637875777721284,-0.0012801874640083627,0.0801138436258814,0.0024479807036401928,0.24024468128314486,-0.008654006025529546,0.05385883743961413,-0.01090844944105739,0.03687314494457389,0.11091682555455415,0.08906826264571469,0.17458491437684018,0.17717798317178196,0.16377317738026104,0.2073061738937875,0,0
duduk,-0.0034728945255161343,0.04856374108096112,-0.007434288379350133,0.06262562115966444,-0.0023129419131280955,0.06111542779282284,0.0284447403334643,0.15072908673388163,-0.009073245920149266,0.0767735494592857,0.00020370843465155374,0.004191059400263754,0.08454322718598967,0.05356453632504041,0.13957915176667046,0.09925896846160735,0.12872020104943976,0.1682282354220141,0,0
duduk,-0.0006401575491793629,0.07028582177522968,-0.013475728002135921,0.05870229807672133,-0.0016859414263435484,0.06232682587548647,0.06181159932115947,0.14215733210479065,0.009825668118745657,0.07332146189166068,0.020572433398821047,0.04027233597514856,0.09250509404917802,0.06175577418292999,0.15267290858973948,0.08970188789154786,0.13911437718366917,0.1892337851053235,0,0
duduk,0.001668298045785232,0.074153008210663,0.009292920142964272,0.06010202128901695,0.0012956372041229886,0.03922126961548413,-0.03487646433958213,0.10906175623751883,0.034780288336412585,0.06916164883630223,0.14955996998191773,0.12119611807020086,0.06804628218654582,0.07787104740475005,0.2091670596402489,0.11053587739197838,0.09899723379020209,0.2968831794188533,0,0
